id,year,sender,target,rt_censor,eco,multi,intensity,maingoals1,maingoals2,maingoals3,maingoals4,measures1,measures2,measures3,measures4,measures5,measures6,democ
1,1999,UN,Afghanistan,0,1,2,4,TR,,,,FB, AE, FS, VB,,,no
1,2000,UN,Afghanistan,0,1,2,4,TR,,,,FB, AE, FS, VB,,,no
1,2001,UN,Afghanistan,0,1,2,4,TR,,,,FB, AE, FS, VB,,,no
1,2002,UN,Afghanistan,0,1,2,4,TR,,,,FB, AE, FS, VB,,,no
2,1992,EU,Algeria,0,1,0,3,DM, PC,,,AS,,,,,,yes
2,1993,EU,Algeria,0,1,0,3,DM, PC,,,AS,,,,,,yes
2,1994,EU,Algeria,0,1,0,3,DM, PC,,,AS,,,,,,yes
3,1992,US,Azerbaijan,0,1,0,3,PC,,,,AS,,,,,,no
3,1993,US,Azerbaijan,0,1,0,3,PC,,,,AS,,,,,,no
3,1994,US,Azerbaijan,0,1,0,3,PC,,,,AS,,,,,,no
3,1995,US,Azerbaijan,0,1,0,3,PC,,,,AS,,,,,,no
3,1996,US,Azerbaijan,0,1,0,3,PC,,,,AS,,,,,,no
3,1997,US,Azerbaijan,0,1,0,3,PC,,,,AS,,,,,,no
3,1998,US,Azerbaijan,0,1,0,3,PC,,,,AS,,,,,,no
3,1999,US,Azerbaijan,0,1,0,3,PC,,,,AS,,,,,,no
3,2000,US,Azerbaijan,0,1,0,3,PC,,,,AS,,,,,,no
3,2001,US,Azerbaijan,0,1,0,3,PC,,,,AS,,,,,,no
3,2002,US,Azerbaijan,0,1,0,3,PC,,,,AS,,,,,,no
4,1998,EU,Belarus,0,0,0,1,OT,,,,VB,,,,,,no
4,1999,EU,Belarus,0,0,0,1,OT,,,,VB,,,,,,no
5,2000,EU,Belarus,1,1,1,2,DM,,,,VB, AF, DS, AE,,,yes
5,2001,EU,Belarus,1,1,1,2,DM,,,,VB, AF, DS, AE,,,yes
5,2002,EU,Belarus,1,1,1,2,DM,,,,VB, AF, DS, AE,,,yes
5,2003,EU,Belarus,1,1,1,2,DM,,,,VB, AF, DS, AE,,,yes
5,2004,EU,Belarus,1,1,1,2,DM,,,,VB, AF, DS, AE,,,yes
5,2005,EU,Belarus,1,1,1,2,DM,,,,VB, AF, DS, AE,,,yes
5,2006,EU,Belarus,1,1,1,2,DM,,,,VB, AF, DS, AE,,,yes
5,2007,EU,Belarus,1,1,1,2,DM,,,,VB, AF, DS, AE,,,yes
5,2008,EU,Belarus,1,1,1,2,DM,,,,VB, AF, DS, AE,,,yes
5,2009,EU,Belarus,1,1,1,2,DM,,,,VB, AF, DS, AE,,,yes
5,2010,EU,Belarus,1,1,1,2,DM,,,,VB, AF, DS, AE,,,yes
